Day;Rate_Price
1;5.8264
2;5.7997
3;5.7791
4;5.807
5;5.8354
6;5.8613
7;5.8613
8;5.9235
9;6.0152
10;6.0392
11;6.046
12;6.0656
13;6.1252
14;6.0762
15;6.0425
16;6.04
17;6.0463
18;5.9999
19;6.0529
20;6.0438
21;6.0827
22;6.1129
23;6.2026
24;6.1607
25;6.1475
26;5.9915
27;5.9602
28;5.9571
29;5.9563
30;5.9282
31;5.9233
32;5.8927
33;5.8598
34;5.8253
35;5.7921
36;5.8094
37;5.7427
38;5.7892
39;5.7852
40;5.7827
41;5.7112
42;5.6727
43;5.6576
44;5.6671
45;5.5923
46;5.6291
47;5.6067
48;5.5569
49;5.5986
50;5.6284
51;5.5423
52;5.3307
53;5.4945
54;5.6458
55;5.5274
56;5.4392
57;5.47
58;5.4642
59;5.4544
60;5.4564
61;5.4617
62;5.4523
63;5.4359
64;5.4345
65;5.4544
66;5.4309
67;5.379
68;5.3671
69;5.3781
70;5.3442
71;5.3177
72;5.2905
73;5.2949
74;5.3058
75;5.3168
76;5.3141
77;5.2964
78;5.3052
79;5.2922
80;5.2601
81;5.2867
82;5.2429
83;5.2638
84;5.2556
85;5.2438
86;5.2407
87;5.2089
88;5.1979
89;5.2194
90;5.1945
91;5.2109
92;5.2781
93;5.3339
94;5.2763
95;5.2641
96;5.274
97;5.3142
98;5.3454
99;5.3369
100;5.3429
101;5.3563
102;5.4037
103;5.4401
104;5.5103
105;5.4242
106;5.4626
107;5.4973
108;5.4264
109;5.3597
110;5.4088
111;5.4588
112;5.3316
113;5.281
114;5.2609
115;5.2889
116;5.2832
117;5.3034
118;5.2926
119;5.2746
120;5.26
121;5.3314
122;5.3504
123;5.3766
124;5.371
125;5.3611
126;5.3633
127;5.3505
128;5.281
129;5.3257
130;5.3608
131;5.3733
132;5.2723
133;5.1906
134;5.157
135;5.1649
136;5.2486
137;5.2366
138;5.2444
139;5.2771
140;5.3029
141;5.3497
142;5.3272
143;5.3231
144;5.3412
145;5.4177
146;5.4625
147;5.477
148;5.4764
149;5.4819
150;5.4095
151;5.3575
152;5.3418
153;5.447
154;5.4613
155;5.5704
156;5.4981
157;5.5203
158;5.6186
159;5.6797
160;5.717
161;5.771
162;5.6481
163;5.6134
164;5.5498
165;5.6825
166;5.7794
167;5.8113
168;5.9042
169;5.9833
170;6.0885
171;6.1156
172;6.1516
173;6.1543
174;6.1244
175;6.0289
176;6.0082
177;5.9659
178;5.9902
179;6.0752
180;6.1242
181;6.124
182;6.2287
183;6.2671
184;6.2718
185;6.3095
186;6.3635
187;6.2608
188;6.0659
189;6.3566
190;6.3945
191;6.4538
192;6.4533
193;6.469
194;6.5863
195;6.6824
196;6.6797
197;6.6213
198;6.5498
199;6.4063
200;6.2186
201;6.1901
202;5.9944
203;5.9944
204;5.7982
205;6.136
206;6.5465
207;6.8798
208;5.9389
209;5.3988
210;5.2813
211;5.2634
212;5.1464
213;5.0778
214;5.0504
215;4.9223
216;4.8999
217;4.885
218;4.8568
219;4.8183
220;4.854
221;4.7775
222;4.7538
223;4.8
224;4.823
225;4.7908
226;4.8365
227;4.8357
228;4.842
229;4.8176
230;4.7488
231;4.705
232;4.5304
233;4.6004
234;4.6427
235;4.6987
236;4.656
237;4.6225
238;4.5607
239;4.6083
240;4.6349
241;4.674
242;4.6397
243;4.7077
244;4.7524
245;4.7488
246;4.7545
247;4.7151
248;4.6484
249;4.6484
250;4.5491
251;4.5136
252;4.5024
253;4.5489
254;4.6095
255;4.6073
256;4.6284
257;4.5922
258;4.4808
259;4.4834
260;4.5962
261;4.5966
262;4.7207
263;4.7028
264;4.8464
265;4.5781
266;4.5534
267;4.4652
268;4.4402
269;4.4581
270;4.3945
271;4.32
272;4.2572
273;4.2666
274;4.2878
275;4.2817
276;4.2558
277;4.255
278;4.1908
279;4.1208
280;4.0399
281;4.0535
282;4.0668
283;4.0758
284;4.0848
285;4.0332
286;4.0273
287;4.0964
288;4.098
289;4.096
290;4.0785
291;4.1284
292;4.1453
293;4.0707
294;4.0561
295;4.0527
296;4.0269
297;4.0076
298;3.976
299;3.9577
300;3.9489
301;3.9949
302;3.9931
303;3.9757
304;3.9742
305;3.9608
306;3.9087
307;3.9276
308;3.9356
309;3.9362
310;3.9039
311;3.8875
312;3.8597
313;3.856
314;3.8151
315;3.8164
316;3.8089
317;3.7971
318;3.8001
319;3.8161
320;3.8038
321;3.8082
322;3.7997
323;3.7833
324;3.7754
325;3.7816
326;3.7994
327;3.7845
328;3.7698
329;3.7531
330;3.7523
331;3.7721
332;3.7973
333;3.7963
334;3.8068
335;3.8119
336;3.8073
337;3.7714
338;3.7786
339;3.7632
340;3.7454
341;3.7567
342;3.754
343;3.7795
344;3.7728
345;3.7371
346;3.7421
347;3.7558
348;3.7874
349;3.8098
350;3.7777
351;3.7967
352;3.8143
353;3.815
354;3.7593
355;3.7622
356;3.7919
357;3.7844
358;3.7554
359;3.7454
360;3.7456
361;3.76
362;3.7617
363;3.7652
364;3.7719
365;3.8104
366;3.8197
367;3.8029
368;3.8087
369;3.8113
370;3.8223
371;3.8342
372;3.8349
373;3.8507
374;3.8591
375;3.8323
376;3.839
377;3.8277
378;3.8275
379;3.8546
380;3.8608
381;3.8528
382;3.8624
383;3.9191
384;3.9324
385;3.939
386;3.9505
387;3.9214
388;3.9285
389;3.9365
390;3.917
391;3.9594
392;3.9525
393;3.8872
394;3.8792
395;3.8684
396;3.8836
397;3.8664
398;3.8659
399;3.8644
400;3.8535
401;3.8815
402;3.8532
403;3.859
404;3.8204
405;3.8072
406;3.808
407;3.7754
408;3.77
409;3.8174
410;3.7661
411;3.7309
412;3.7111
413;3.6985
414;3.6595
415;3.66
416;3.6748
417;3.6546
418;3.6401
419;3.6479
420;3.6448
421;3.6753
422;3.681
423;3.6959
424;3.6041
425;3.5685
426;3.5634
427;3.578
428;3.5757
429;3.5521
430;3.572
431;3.5657
432;3.5344
433;3.5162
434;3.4862
435;3.509
436;3.4757
437;3.4901
438;3.4536
439;3.4322
440;3.4544
441;3.434
442;3.4264
443;3.3965
444;3.4061
445;3.4204
446;3.4398
447;3.4392
448;3.441
449;3.441
450;3.4446
451;3.4782
452;3.4781
453;3.4956
454;3.4973
455;3.5109
456;3.5213
457;3.5178
458;3.5288
459;3.5275
460;3.5253
461;3.5435
462;3.5343
463;3.5384
464;3.5275
465;3.5295
466;3.5287
467;3.5375
468;3.5292
469;3.5169
470;3.5226
471;3.5292
472;3.5262
473;3.5574
474;3.5578
475;3.5444
476;3.5296
477;3.5304
478;3.5264
479;3.5267
480;3.5373
481;3.5607
482;3.5657
483;3.6027
484;3.631
485;3.604
486;3.63
487;3.6223
488;3.5789
489;3.5492
490;3.5305
491;3.5168
492;3.5071
493;3.5211
494;3.5
495;3.518
496;3.5349
497;3.5215
498;3.5019
499;3.5124
500;3.5029
501;3.5136
502;3.5169
503;3.519
504;3.5217
505;3.5412
506;3.5173
507;3.5317
508;3.506
509;3.528
510;3.5312
511;3.5334
512;3.5642
513;3.575
514;3.5651
515;3.5586
516;3.5645
517;3.5656
518;3.5612
519;3.6128
520;3.5547
521;3.5455
522;3.5561
523;3.5861
524;3.5736
525;3.5983
526;3.5928
527;3.5476
528;3.5596
529;3.5429
530;3.5317
531;3.5348
532;3.5504
533;3.5583
534;3.585
535;3.5829
536;3.5926
537;3.6392
538;3.638
539;3.6623
540;3.6838
541;3.6581
542;3.6801
543;3.6565
544;3.6759
545;3.7153
546;3.7263
547;3.7208
548;3.7081
549;3.6768
550;3.643
551;3.6375
552;3.6362
553;3.6386
554;3.6416
555;3.6186
556;3.5931
557;3.6185
558;3.6134
559;3.6256
560;3.6105
561;3.6261
562;3.6058
563;3.6714
564;3.7289
565;3.7458
566;3.7394
567;3.7464
568;3.7522
569;3.703
570;3.6842
571;3.7114
572;3.7215
573;3.6816
574;3.6313
575;3.6078
576;3.5882
577;3.5689
578;3.5747
579;3.6104
580;3.6186
581;3.6211
582;3.6662
583;3.6704
584;3.6462
585;3.6494
586;3.6869
587;3.6749
588;3.7047
589;3.741
590;3.7095
591;3.6784
592;3.7421
593;3.7336
594;3.7746
595;3.7874
596;3.8324
597;3.8779
598;3.8342
599;3.8034
600;3.7523
601;3.7678
